title,authors,image_url
The Round House,Louise Erdrich,https://images.gr-assets.com/books/1352999408m/13602426.jpg
Eleanor & Park,Rainbow Rowell,https://images.gr-assets.com/books/1341952742m/15745753.jpg
Mr. Mercedes,Stephen King,https://images.gr-assets.com/books/1468705326m/18775247.jpg
"Politi (Harry Hole, #10)","Jo Nesbø, Don Bartlett",https://images.gr-assets.com/books/1373049226m/18142329.jpg
"Darkness, Take My Hand",Dennis Lehane,https://images.gr-assets.com/books/1392049150m/21681.jpg
NOS4A2,Joe Hill,https://images.gr-assets.com/books/1369591617m/15729539.jpg
Gjenferd,"Jo Nesbø, Don Bartlett",https://images.gr-assets.com/books/1333577303m/13256064.jpg
Wool,Hugh Howey,https://images.gr-assets.com/books/1327889474m/12287209.jpg
Doctor Sleep,Stephen King,https://images.gr-assets.com/books/1362415596m/16130549.jpg
Fallen,Karin Slaughter,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
Northanger Abbey,"Jane Austen, Alfred MacAdam",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
Pretty Girls,Karin Slaughter,https://images.gr-assets.com/books/1432205734m/25574782.jpg
When Breath Becomes Air,"Paul Kalanithi, Abraham Verghese",https://images.gr-assets.com/books/1492677644m/25899336.jpg
The Kept Woman,Karin Slaughter,https://images.gr-assets.com/books/1462032117m/28374062.jpg
